,Shape_Area,ADM2_PCODE,ADM2_EN,sum_10,sum_11,sum_12,sum_13,sum_21,sum_22,sum_23,sum_30
0,2.2567182,PK201,Awaran,0.0,13439.88995,44530.72503,11179.81853,0.0,5961.22831,0.0,0.0
1,0.32853547,PK202,Barkhan,0.0,13283.40794,52011.58466,0.0,0.0,0.0,0.0,0.0
2,4.1175814,PK203,Chagai,0.0,10631.74798,35426.35112,9836.17317,0.0,13204.44818,0.0,0.0
3,0.952769,PK204,Dera Bugti,0.0,11727.41545,61562.7639,22658.11866,2818.08624,0.0,15791.40861,0.0
4,1.038382,PK205,Gwadar,0.0,7052.61509,25291.04726,20583.59639,2729.76185,6904.96458,44022.25348,0.0
5,0.2867488,PK206,Harnai,0.0,6927.66073,27814.94946,5599.0518,2766.33027,0.0,6533.38137,0.0
6,0.15641911,PK207,Jaffarabad,0.0,15695.71638,101994.93142,12728.59718,11621.47976,0.0,54899.00337,0.0
7,0.3554402,PK208,Jhal Magsi,0.0,12942.62564,42476.90861,15112.46599,0.0,0.0,0.0,0.0
8,0.49832225,PK209,Kachhi,0.0,11005.65531,67508.35414,31029.89418,3729.73166,7211.8509,7103.76845,0.0
9,0.9434911,PK210,Kalat,0.0,14701.07856,37464.3392,11482.44821,5635.98594,0.0,23613.23465,0.0
10,2.2015545,PK211,Kech,0.0,16479.7633,55102.05952,65838.45472,5432.94751,11064.86989,12467.93058,97487.99743
11,0.7585757,PK212,Kharan,0.0,9282.2054,19662.76492,2237.68161,12536.07969,0.0,26454.23206,0.0
12,2.8262496,PK213,Khuzdar,0.0,61505.58097,107677.46889,17874.42439,12029.87297,0.0,5466.16307,64772.58015
13,0.28203654,PK214,Killa Abdullah,0.0,10316.95088,28000.04102,19231.64484,34666.74223,11542.1478,5553.551,0.0
14,1.1710682,PK215,Killa Saifullah,0.0,23039.26333,62420.00376,12594.46185,5688.81982,0.0,20683.61008,0.0
15,0.71964014,PK216,Kohlu,0.0,11881.88306,36256.88443,8965.12407,0.0,6913.34994,0.0,0.0
16,1.2652731,PK217,Lasbela,0.0,31954.79324,72300.49443,12417.06844,8611.53925,19273.40347,0.0,52691.60928
17,0.30422506,PK218,Lehri,0.0,3913.53058,24350.20795,23549.0846,0.0,5205.6108,0.0,0.0
18,0.35663244,PK219,Loralai,0.0,13367.77223,28176.20413,6258.13334,3473.11056,0.0,34831.95708,0.0
19,0.43941626,PK220,Mastung,0.0,14728.59168,42900.51291,13886.59099,9719.40571,5885.2633,6193.90763,0.0
20,0.55652255,PK221,Musakhel,0.0,15101.72065,56596.05264,8011.34587,0.0,5495.04196,0.0,0.0
